Rank,SLD,X,Y,Scale,Rotation,Score,Category,NumComponents,BlackPixels
85,SLD11,247,82,0.15,270,0.5722222328186035,Curved Conductor,2,134
86,SLD3,155,96,0.15,90,0.5736263990402222,Text Region,4,90
87,SLD3,1333,168,0.15,90,0.5736263990402222,Conductor Intersection,2,119
88,SLD11,568,462,0.15,0,0.5744794011116028,Text Region,3,90
89,SLD7,1471,504,0.15,180,0.5749676823616028,Text Region,5,127
90,SLD10,1009,650,0.178,180,0.5755172967910767,Text Region,6,141
91,SLD7,977,502,0.178,0,0.5756252408027649,Conductor Intersection,1,113
92,SLD10,1027,121,0.15,90,0.5758242011070251,Conductor Intersection,2,113
93,SLD7,351,351,0.206,180,0.5769783854484558,Text Region,13,171
94,SLD10,490,645,0.206,0,0.5771428942680359,Curved Conductor,1,158
95,SLD7,1019,85,0.178,0,0.577337384223938,Conductor Intersection,1,112
96,SLD10,1012,113,0.178,0,0.5773913264274597,Text Region,6,157
97,SLD10,169,648,0.178,0,0.5773913264274597,Conductor Intersection,2,150
98,SLD11,254,79,0.15,90,0.5780219435691833,Text Region,3,138
99,SLD7,157,478,0.15,90,0.5780219435691833,Text Region,15,74
