key,group,candidate_stroke_count,template_stroke_count,Stroke_Difference,Normalized_Stroke_Difference,Stroke_Ratio,Stroke_Similarity
SLD7_1343_96,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_68_49,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD8_535_116,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_566_73,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_707_86,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_175_143,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1077_138,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_1068_685,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_184_116,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_578_312,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1517_506,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_88_83,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_504_647,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_765_128,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_404_89,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD7_1186_5,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_595_647,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_477_76,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD11_514_148,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD4_231_137,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_958_150,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD3_492_232,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD10_698_68,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_494_30,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
SLD2_501_49,,0.0,2.0,2.0,1.0,2.0,0.3333333333333333
