SLD,Symbol_ID,Scale,Classification,Stage3_Rank,Stage4_Rank,Stage5_Rank,ChamferScore,CoverageAreaScore,CombinedScore,Cand_X,Cand_Y,Cand_Scale,Cand_Rotation
SLD7,SLD7_GT_0,4.8,LOCALIZED_AND_HIGHLY_RANKED,2320,100,99,4.2082839012146,1482.792899408284,593.4877513349691,1727.0,138.0,0.4,270.0
SLD7,SLD7_GT_1,4.8,LOCALIZED_AND_HIGHLY_RANKED,2382,398,396,5.356249809265137,1287.3999999999999,515.35650021777,1712.0,744.0,0.4,90.0
SLD7,SLD7_GT_2,3.066666666666667,LOCALIZED_AND_HIGHLY_RANKED,2670,92,92,4.265102863311768,1492.8328445747802,597.5312609076605,1685.0,165.0,0.4,0.0
SLD7,SLD7_GT_3,4.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,4613,393,393,5.051360130310059,1288.7100591715975,515.8341956429923,1727.0,406.0,0.4,270.0
SLD7,SLD7_GT_4,3.066666666666667,LOCALIZED_AND_HIGHLY_RANKED,3809,138,136,4.930791854858398,1438.9677419354837,575.9841641334667,28.0,714.0,0.4,0.0
SLD7,SLD7_GT_5,2.8666666666666667,LOCALIZED_AND_HIGHLY_RANKED,1359,821,822,6.169632434844971,1142.7096774193549,457.29276712187635,562.0,728.0,0.4,180.0
SLD7,SLD7_GT_6,4.533333333333333,LOCALIZED_BUT_POORLY_RANKED,4192,1838,-1,4.935064792633057,0.0,0.0,1714.0,425.0,0.372,90.0
SLD7,SLD7_GT_7,4.8,LOCALIZED_BUT_POORLY_RANKED,4642,2151,-1,6.9082841873168945,0.0,0.0,1726.0,543.0,0.4,270.0
SLD7,SLD7_GT_8,4.533333333333333,LOCALIZED_BUT_POORLY_RANKED,3033,1733,-1,4.864245414733887,0.0,0.0,1714.0,11.0,0.372,90.0
SLD7,SLD7_GT_9,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5746,1274,-1,6.435483932495117,0.0,0.0,228.0,729.0,0.4,180.0
SLD7,SLD7_GT_10,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5568,1102,-1,6.435483932495117,0.0,0.0,56.0,729.0,0.4,180.0
SLD7,SLD7_GT_11,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5600,1128,-1,6.435483932495117,0.0,0.0,82.0,729.0,0.4,180.0
SLD7,SLD7_GT_12,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5632,1160,-1,6.435483932495117,0.0,0.0,114.0,729.0,0.4,180.0
SLD7,SLD7_GT_13,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5666,1194,-1,6.435483932495117,0.0,0.0,148.0,729.0,0.4,180.0
SLD7,SLD7_GT_14,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5696,1224,-1,6.435483932495117,0.0,0.0,178.0,729.0,0.4,180.0
SLD7,SLD7_GT_15,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5776,1304,-1,6.435483932495117,0.0,0.0,258.0,729.0,0.4,180.0
SLD7,SLD7_GT_16,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5810,1338,-1,6.435483932495117,0.0,0.0,292.0,729.0,0.4,180.0
SLD7,SLD7_GT_17,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5842,1370,-1,6.435483932495117,0.0,0.0,324.0,729.0,0.4,180.0
SLD7,SLD7_GT_18,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5874,1402,-1,6.435483932495117,0.0,0.0,356.0,729.0,0.4,180.0
SLD7,SLD7_GT_19,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5906,1434,-1,6.435483932495117,0.0,0.0,388.0,729.0,0.4,180.0
SLD7,SLD7_GT_20,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5938,1466,-1,6.435483932495117,0.0,0.0,420.0,729.0,0.4,180.0
SLD7,SLD7_GT_21,3.066666666666667,LOCALIZED_AND_HIGHLY_RANKED,5362,972,972,6.435483932495117,1117.316129032258,447.08853030047584,1513.0,180.0,0.4,180.0
SLD7,SLD7_GT_22,3.066666666666667,LOCALIZED_AND_HIGHLY_RANKED,5390,989,989,6.435483932495117,1117.316129032258,447.08853030047584,1530.0,180.0,0.4,180.0
SLD7,SLD7_GT_23,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5420,1019,-1,6.435483932495117,0.0,0.0,1560.0,180.0,0.4,180.0
SLD7,SLD7_GT_24,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5454,1053,-1,6.435483932495117,0.0,0.0,1594.0,180.0,0.4,180.0
SLD7,SLD7_GT_25,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5484,1083,-1,6.435483932495117,0.0,0.0,1624.0,180.0,0.4,180.0
SLD7,SLD7_GT_26,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5968,1496,-1,6.435483932495117,0.0,0.0,450.0,729.0,0.4,180.0
SLD7,SLD7_GT_27,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,5998,1526,-1,6.435483932495117,0.0,0.0,480.0,729.0,0.4,180.0
SLD7,SLD7_GT_28,3.066666666666667,LOCALIZED_BUT_POORLY_RANKED,6028,1556,-1,6.435483932495117,0.0,0.0,510.0,729.0,0.4,180.0
SLD7,SLD7_GT_29,4.8,LOCALIZED_BUT_POORLY_RANKED,4663,1901,-1,6.675000190734863,0.0,0.0,1712.0,562.0,0.4,90.0
SLD7,SLD7_GT_30,4.8,LOCALIZED_BUT_POORLY_RANKED,4693,1903,-1,6.675000190734863,0.0,0.0,1712.0,564.0,0.4,90.0
SLD7,SLD7_GT_31,4.8,LOCALIZED_BUT_POORLY_RANKED,4723,1933,-1,6.675000190734863,0.0,0.0,1712.0,594.0,0.4,90.0
SLD7,SLD7_GT_32,4.8,LOCALIZED_BUT_POORLY_RANKED,4753,1963,-1,6.675000190734863,0.0,0.0,1712.0,624.0,0.4,90.0
SLD7,SLD7_GT_33,4.8,LOCALIZED_BUT_POORLY_RANKED,4783,1993,-1,6.675000190734863,0.0,0.0,1712.0,654.0,0.4,90.0
SLD7,SLD7_GT_34,4.8,LOCALIZED_BUT_POORLY_RANKED,4813,2023,-1,6.675000190734863,0.0,0.0,1712.0,684.0,0.4,90.0
SLD7,SLD7_GT_35,2.8666666666666667,LOCALIZED_BUT_POORLY_RANKED,5718,1241,-1,6.435483932495117,0.0,0.0,195.0,729.0,0.4,180.0
SLD7,SLD7_GT_36,1.5333333333333334,LOCALIZED_AND_HIGHLY_RANKED,3312,930,928,6.429032325744629,1117.316129032258,447.1327403712862,1215.0,180.0,0.4,180.0
SLD7,SLD7_GT_37,1.5333333333333334,LOCALIZED_AND_HIGHLY_RANKED,2367,569,565,4.345831394195557,1224.3086816720256,490.0927024303633,1215.0,719.0,0.372,0.0
SLD7,SLD7_GT_38,3.466666666666667,LOCALIZED_AND_HIGHLY_RANKED,84,122,121,3.4578871726989746,1451.7396449704142,581.1137051883389,17.0,353.0,0.4,270.0
SLD7,SLD7_GT_39,4.533333333333333,LOCALIZED_AND_HIGHLY_RANKED,226,507,505,2.814704656600952,1246.3999999999999,498.8645421859644,1725.0,345.0,0.4,90.0
SLD7,SLD7_GT_40,2.4,LOCALIZED_AND_HIGHLY_RANKED,1604,182,181,4.971795082092285,1397.3964497041422,559.3539369317363,17.0,406.0,0.4,270.0
SLD7,SLD7_GT_41,2.4,LOCALIZED_AND_HIGHLY_RANKED,1764,500,499,3.496774196624756,1250.3225806451612,500.6066356651607,18.0,754.0,0.372,270.0
