sld_name,ground_truth_x,ground_truth_y,best_candidate_x,best_candidate_y,association_distance,stage3_rank,stage4_rank,stage5_rank,template_id,template_scale,template_rotation,chamfer_score,coverage_score,verification_score,combined_score
SLD10,1319,145,1336.0,155.0,15.692354826475215,3243,1884,-1,T_0.400_270,0.4,270,6.9082841873168945,0,0,6.9082841873168945
SLD10,1335,555,1324.0,562.0,15.033296378372908,3556,2088,-1,T_0.372_090,0.372,90,5.064935207366943,0,0,5.064935207366943
SLD10,1335,665,1336.0,688.0,19.059118552545918,3618,1892,-1,T_0.400_270,0.4,270,6.9082841873168945,0,0,6.9082841873168945
SLD10,1335,695,1322.0,711.0,19.60229578391266,3640,1645,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1335,725,1322.0,711.0,23.753947040439407,3670,1645,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1335,755,1322.0,740.0,24.520399670478458,3700,1674,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1335,785,1322.0,770.0,24.520399670478458,3730,1704,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1335,815,1322.0,800.0,24.520399670478458,3760,1734,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1319,841,1322.0,821.0,24.005207768315607,3785,1755,-1,T_0.400_090,0.4,90,6.675000190734863,0,0,6.675000190734863
SLD10,1336,585,1328.0,611.0,21.224985276791124,3000,3643,-1,T_0.289_090,0.289,90,1.7100409269332886,0,0,1.7100409269332886
SLD10,675,808,659.0,789.0,20.180436070610565,4558,3039,-1,T_0.400_090,0.4,90,5.829738616943359,0,0,5.829738616943359
SLD10,1233,228,1206.0,237.0,24.698178070456937,5783,1313,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1381,228,1386.0,237.0,17.029386365926403,5876,1360,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1413,228,1386.0,237.0,24.698178070456937,5908,1360,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,303,502,316.0,514.0,14.849242404917497,9005,13170,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,684,502,696.0,514.0,14.159802258506296,9007,13172,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,812,502,823.0,514.0,13.509256086106296,9059,13173,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,1064,502,1076.0,514.0,14.159802258506296,9009,13174,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,1192,502,1203.0,514.0,13.509256086106296,9061,13175,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,1494,240,1464.0,237.0,24.020824298928627,5988,1438,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,944,228,917.0,237.0,24.698178070456937,5494,1024,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,974,228,947.0,237.0,24.698178070456937,5524,1054,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1004,228,977.0,237.0,24.698178070456937,5554,1084,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1034,228,1007.0,237.0,24.698178070456937,5584,1114,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1064,228,1037.0,237.0,24.698178070456937,5614,1144,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1094,228,1067.0,237.0,24.698178070456937,5644,1174,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1124,228,1097.0,237.0,24.698178070456937,5674,1204,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1154,228,1127.0,237.0,24.698178070456937,5704,1234,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1184,228,1157.0,237.0,24.698178070456937,5734,1264,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1450,228,1423.0,237.0,24.698178070456937,5945,1397,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,1523,228,1496.0,237.0,24.698178070456937,6018,1470,-1,T_0.400_180,0.4,180,6.5580644607543945,0,0,6.5580644607543945
SLD10,43,502,63.0,514.0,20.40833163195855,9022,13169,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,171,502,190.0,514.0,19.557607215607945,9004,13249,-1,T_0.289_180,0.289,180,5.282487869262695,0,0,5.282487869262695
SLD10,423,502,443.0,514.0,20.40833163195855,9023,13171,-1,T_0.289_180,0.289,180,5.280669689178467,0,0,5.280669689178467
SLD10,550,502,570.0,514.0,20.40833163195855,9006,13250,-1,T_0.289_180,0.289,180,5.282487869262695,0,0,5.282487869262695
