candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,group,sld_rank,group,sld_rank,fp_class
,SLD1,T_0.344_000,0.344,0,228,91,5.859589099884033,0.2089041095890411,0.4006849315068493,0.4280821917808219,0.4691780821917808,0.13783561643835615,771.318493150685,0.020908051948051943,55,35,1925,292,2,4,2,1.0,2,5,3,0.0,82.5,0.0,216.0,447.9238796234131,0.48222479270718843,13.75,1.5714285714285714,12.178571428571429,220,1925,0.11428571428571428,0.05714285714285714,0.15168831168831168,0.09454545454545454,0.5,0.15168831168831168,0.34831168831168835,2,3,1,1,2,0.2089041095890411,5.859589,0.0865985081182388,0.2089041095890411,0.3840998043052838,771.318493150685,0.13783561643835615,308.7578571428572,A_TrueMR,843,A_TrueMR,843,
,SLD1,T_0.400_180,0.4,180,250,102,5.756184101104736,0.19032258064516128,0.4129032258064516,0.45161290322580644,0.5064516129032258,0.16516129032258065,1083.458064516129,0.019821912504839334,64,41,2624,310,2,7,5,1.0,2,7,5,7.5,61.5,0.12195121951219512,271.6984840631485,521.5218585729599,0.5209723803458536,3.2,1.5365853658536586,1.6634146341463416,1280,2583,0.49554781262098335,0.053734756097560975,0.11814024390243902,0.06440548780487804,0.11015625,0.1200154858691444,0.009859235869144403,2,7,5,0,5,0.19032258064516128,5.7561836,0.09498044383392878,0.19032258064516128,0.3422438294587439,1083.458064516129,0.16516129032258065,433.5885721041269,A_TrueMR,257,A_TrueMR,257,
,SLD1,T_0.400_180,0.4,180,825,119,5.318994998931885,0.31290322580645163,0.4967741935483871,0.5161290322580645,0.5516129032258065,0.19870967741935486,1303.5354838709677,0.023848238482384824,64,41,2624,310,2,7,5,1.0,2,7,5,1.0,61.5,0.016260162601626018,298.1421353816986,521.5218585729599,0.5716771607569908,2.3703703703703702,1.5365853658536586,0.8337850045167117,1728,2583,0.6689895470383276,0.057164634146341466,0.11814024390243902,0.06097560975609755,0.08680555555555555,0.1200154858691444,0.03320993031358885,2,7,5,0,5,0.31290322580645163,5.318995,0.10204179499233162,0.31290322580645163,0.40827685882465586,1303.5354838709677,0.19870967741935486,521.6591596636819,A_TrueMR,113,A_TrueMR,113,
,SLD1,T_0.372_180,0.372,180,37,103,5.028753757476807,0.3738019169329074,0.4472843450479233,0.476038338658147,0.5207667731629393,0.16638977635782748,1019.8083067092651,0.023229259589652097,60,38,2280,313,4,2,2,1.0,4,2,2,3.0,83.0,0.03614457831325301,273.79898941516876,492.45079159736633,0.5559925866441293,2.2222222222222223,1.5526315789473684,0.669590643274854,1620,2242,0.7225691347011597,0.06184210526315789,0.13728070175438598,0.07543859649122808,0.08703703703703704,0.13960749330954506,0.05257045627250802,4,2,2,0,2,0.3738019169329074,5.0287538,0.10202341673259521,0.3738019169329074,0.5726206358721542,1019.8083067092651,0.16638977635782748,408.2668950652294,A_TrueMR,317,A_TrueMR,317,
,SLD1,T_0.317_180,0.317,180,132,105,4.415686130523682,0.39215686274509803,0.4392156862745098,0.47843137254901963,0.5254901960784314,0.1392313725490196,739.2,0.022189999999999998,51,33,1683,255,3,5,2,1.0,3,5,2,0.5,66.5,0.007518796992481203,207.41421353816986,393.0954530239105,0.5276433801068506,2.125,1.5625,0.5625,1224,1600,0.765,0.06357694592988711,0.15151515151515152,0.08793820558526441,0.08741830065359477,0.159375,0.07195669934640522,3,5,2,0,2,0.39215686274509803,4.415686,0.08751540914383282,0.39215686274509803,0.5931680778371955,739.2,0.1392313725490196,296.0359008467023,A_TrueMR,969,A_TrueMR,969,
,SLD1,T_0.400_000,0.4,0,354,88,7.032258033752441,0.3519061583577713,0.3870967741935484,0.4046920821114369,0.4310850439882698,0.15483870967741936,1015.741935483871,0.020121951219512196,64,41,2624,341,2,6,4,1.0,2,8,6,0.0,555.0,0.0,252.82842707633972,575.6223644018173,0.43922620577655497,16.0,1.5609756097560976,14.439024390243903,256,2624,0.0975609756097561,0.04878048780487805,0.12995426829268292,0.08117378048780487,0.5,0.12995426829268292,0.3700457317073171,2,4,2,2,4,0.3519061583577713,7.032258,0.09273022863412317,0.3519061583577713,0.335327945068307,1015.741935483871,0.15483870967741936,406.4979709605894,A_TrueMR,324,A_TrueMR,324,
,SLD1,T_0.344_000,0.344,0,0,92,6.013698577880859,0.3527397260273973,0.386986301369863,0.4143835616438356,0.4417808219178082,0.13312328767123285,744.9486301369863,0.020193246753246748,55,35,1925,292,2,4,2,1.0,2,5,3,0.0,82.5,0.0,216.0,447.9238796234131,0.48222479270718843,18.333333333333332,1.5714285714285714,16.76190476190476,165,1925,0.08571428571428572,0.05714285714285714,0.15168831168831168,0.09454545454545454,0.6666666666666666,0.15168831168831168,0.514978354978355,2,3,1,1,2,0.3527397260273973,6.0136986,0.08634419248321423,0.3527397260273973,0.3969128268991283,744.9486301369863,0.13312328767123285,298.217599750934,A_TrueMR,920,A_TrueMR,920,
,SLD1,T_0.317_180,0.317,180,62,105,4.358431339263916,0.38823529411764707,0.44313725490196076,0.48627450980392156,0.5333333333333333,0.14047450980392157,745.8,0.022388125,51,33,1683,255,5,5,0,1.0,5,5,0,5.5,66.5,0.08270676691729323,271.35533821582794,393.0954530239105,0.6903039354141866,2.125,1.5625,0.5625,1224,1600,0.765,0.08377896613190731,0.15151515151515152,0.0677361853832442,0.11519607843137254,0.159375,0.04417892156862745,5,5,0,0,0,0.38823529411764707,4.3584313,0.04738233368517511,0.38823529411764707,0.6815875668449198,745.8,0.14047450980392157,298.72895254010695,A_TrueMR,913,A_TrueMR,913,
,SLD1,T_0.317_180,0.317,180,90,105,3.8116917610168457,0.39215686274509803,0.45098039215686275,0.5058823529411764,0.5686274509803921,0.1429607843137255,759.0,0.022784375,51,33,1683,255,5,5,0,1.0,5,5,0,6.5,66.5,0.09774436090225563,279.0121922492981,393.0954530239105,0.709782293595563,2.125,1.5625,0.5625,1224,1600,0.765,0.08615567439096851,0.15151515151515152,0.06535947712418301,0.1184640522875817,0.159375,0.040910947712418294,5,5,0,0,0,0.39215686274509803,3.8116918,0.04415512677811703,0.39215686274509803,0.6838929738562093,759.0,0.1429607843137255,304.0103357843137,A_TrueMR,877,A_TrueMR,877,
,SLD1,T_0.400_180,0.4,180,1191,121,3.074148654937744,0.23225806451612904,0.32903225806451614,0.5838709677419355,0.6516129032258065,0.13161290322580646,863.3806451612903,0.015795586527293844,64,41,2624,310,4,7,3,1.0,5,7,2,32.0,61.5,0.5203252032520326,336.4264061450958,521.5218585729599,0.6450859165628442,2.0,1.5365853658536586,0.46341463414634143,2048,2583,0.7928765001935734,0.06478658536585366,0.11814024390243902,0.05335365853658536,0.0830078125,0.1200154858691444,0.0370076733691444,3,7,4,1,5,0.23225806451612904,3.0741487,0.09550171681969688,0.23225806451612904,0.5089222261444245,863.3806451612903,0.13161290322580646,345.6576114002028,A_TrueMR,612,A_TrueMR,612,
