candidate_id,sld_name,template_id,scale,rotation,x,y,chamfer_score,coverage_r0,coverage_r1,coverage_r2,coverage_r3,normalized_score_a,normalized_score_b,normalized_score_c,template_width,template_height,template_area,edge_count,candidate_component_count,template_component_count,component_difference,largest_component_ratio,candidate_contour_count,template_contour_count,contour_difference,candidate_total_contour_area,template_total_contour_area,contour_area_ratio,candidate_total_contour_perimeter,template_total_contour_perimeter,contour_perimeter_ratio,candidate_aspect_ratio,template_aspect_ratio,aspect_ratio_difference,candidate_bbox_area,template_bbox_area,bbox_area_ratio,candidate_edge_density,template_edge_density,density_difference,candidate_foreground_ratio,template_foreground_ratio,occupancy_difference,candidate_euler,template_euler,euler_difference,hole_count_difference,topology_difference,edge_overlap_ratio,localized_chamfer_residual,shape_similarity,template_alignment_quality,VerificationScore,CoverageAreaScore,CoverageScaleScore,CombinedScore,w_actual,h_actual,x1,y1,x2,y2,is_tp_a,is_tp_b
SLD1_00000,SLD1,T_0.400_180,0.4,180,576,102,0.7096474170684814,0.4354838709677419,0.8709677419354839,0.9612903225806452,0.9870967741935484,0.3483870967741935,2285.4193548387098,0.0418118466898954,64,41,2624,310,10,7,3,1.0,11,7,4,186.5,61.5,3.032520325203252,600.918827176094,521.5218585729599,1.152240922020772,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.1166158536585365,0.118140243902439,0.0015243902439024,0.1166158536585365,0.1200154858691444,0.0033996322106078,9,7,2,1,3,0.4354838709677419,0.7096474,0.0060257593999937,0.4354838709677419,0.6947823080189327,2285.4193548387098,0.3483870967741935,914.5846113202952,25.6,16.400000000000002,563.2,93.8,588.8,110.2,True,False
SLD1_00001,SLD1,T_0.400_180,0.4,180,878,119,0.7657264471054077,0.5032258064516129,0.867741935483871,0.9258064516129032,0.9516129032258064,0.3470967741935484,2276.954838709677,0.0416569879984514,64,41,2624,310,7,7,0,1.0,9,7,2,54.5,61.5,0.8861788617886179,569.7472536563873,521.5218585729599,1.0924705154552612,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.1055640243902439,0.118140243902439,0.0125762195121951,0.1055640243902439,0.1200154858691444,0.0144514614789005,5,7,2,2,4,0.5032258064516129,0.76572645,0.0038033522427045,0.5032258064516129,0.7406841569567768,2276.954838709677,0.3470967741935484,911.2263459780452,25.6,16.400000000000002,865.2,110.8,890.8,127.2,True,False
SLD1_00002,SLD1,T_0.400_270,0.4,270,753,202,0.8430852293968201,0.4230769230769231,0.8520710059171598,0.9201183431952664,0.9526627218934912,0.3408284023668639,2235.8343195266275,0.0439024390243902,41,64,2624,338,8,7,1,1.0,11,9,2,232.5,151.5,1.534653465346535,598.9188276529312,570.3502857685089,1.0500894671174366,0.609375,0.640625,0.03125,2496,2624,0.951219512195122,0.1131859756097561,0.1288109756097561,0.015625,0.1189903846153846,0.1288109756097561,0.0098205909943714,5,5,0,1,1,0.4230769230769231,0.8430851,0.0019732299264847,0.4230769230769231,0.7655839587242026,2235.8343195266275,0.3408284023668639,894.7930781858855,16.400000000000002,25.6,744.8,189.2,761.2,214.8,True,False
SLD1_00003,SLD1,T_0.400_180,0.4,180,459,102,1.7197500467300415,0.3161290322580645,0.8193548387096774,0.8870967741935484,0.9161290322580644,0.327741935483871,2149.9870967741936,0.0393341076267905,64,41,2624,310,7,7,0,1.0,11,7,4,242.5,61.5,3.9430894308943087,575.4041081666946,521.5218585729599,1.103317336959131,1.5609756097560976,1.5365853658536586,0.024390243902439,2624,2583,1.0158730158730158,0.1067073170731707,0.118140243902439,0.0114329268292682,0.1067073170731707,0.1200154858691444,0.0133081687959736,3,7,4,4,8,0.3161290322580645,1.71975,0.0075005515099781,0.3161290322580645,0.6450124417718831,2149.9870967741936,0.327741935483871,860.3818461747405,25.6,16.400000000000002,446.2,93.8,471.8,110.2,False,False
SLD1_00005,SLD1,T_0.400_180,0.4,180,1172,177,0.999709963798523,0.3290322580645161,0.7322580645161291,0.8838709677419355,0.9516129032258064,0.2929032258064516,1921.4451612903224,0.035152922957801,64,41,2624,310,17,7,10,1.0,26,7,19,938.5,61.5,15.260162601626016,1223.7859194278717,521.5218585729599,2.346566877899455,1.4634146341463414,1.5365853658536586,0.0731707317073171,2460,2583,0.9523809523809524,0.2351371951219512,0.118140243902439,0.1169969512195122,0.2508130081300813,0.1200154858691444,0.1307975222609368,8,7,1,9,10,0.3290322580645161,0.99970996,0.0606114473971971,0.3290322580645161,0.4345166363818016,1921.4451612903224,0.2929032258064516,768.8387744979582,25.6,16.400000000000002,1159.2,168.8,1184.8,185.2,False,False
SLD1_00006,SLD1,T_0.400_090,0.4,90,672,202,1.3390843868255615,0.303125,0.73125,0.84375,0.925,0.2925,1918.8,0.0362369337979094,41,64,2624,320,19,5,14,1.0,24,7,17,652.5,535.5,1.218487394957983,970.8498464822768,533.7228692770004,1.81901489025086,0.6949152542372882,0.6507936507936508,0.0441216034436373,2419,2583,0.9365079365079364,0.1924542682926829,0.1219512195121951,0.0705030487804878,0.2087639520463001,0.1238869531552458,0.0848769988910543,14,3,11,3,14,0.303125,1.3390844,0.0439059641572784,0.303125,0.4510371697769642,1918.8,0.2925,767.7906223018662,16.400000000000002,25.6,663.8,189.2,680.2,214.8,False,False
SLD1_00007,SLD1,T_0.400_000,0.4,0,93,159,1.098883867263794,0.2991202346041056,0.7243401759530792,0.8709677419354839,0.9501466275659824,0.2897360703812316,1900.66862170088,0.0376524390243902,64,41,2624,341,18,6,12,1.0,25,8,17,985.5,555.0,1.7756756756756755,1164.5310856103897,575.6223644018173,2.0230817244576,1.5609756097560976,1.5609756097560976,0.0,2624,2624,1.0,0.2237042682926829,0.1299542682926829,0.09375,0.2237042682926829,0.1299542682926829,0.09375,11,4,7,5,12,0.2991202346041056,1.0988839,0.0545788611370019,0.2991202346041056,0.4522360703812316,1900.66862170088,0.2897360703812316,760.5387903225808,25.6,16.400000000000002,80.2,150.8,105.8,167.2,False,False
SLD1_00030,SLD1,T_0.400_270,0.4,270,1184,130,1.6239392757415771,0.301775147928994,0.6923076923076923,0.7751479289940828,0.8372781065088757,0.2769230769230769,1816.6153846153843,0.035670731707317,41,64,2624,338,17,7,10,1.0,22,9,13,301.5,151.5,1.99009900990099,757.629504442215,570.3502857685089,1.3283582446554925,0.640625,0.640625,0.0,2624,2624,1.0,0.1528201219512195,0.1288109756097561,0.0240091463414634,0.1528201219512195,0.1288109756097561,0.0240091463414634,12,5,7,3,10,0.301775147928994,1.6239393,0.0106149189135615,0.301775147928994,0.4809288858421129,1816.6153846153843,0.2769230769230769,726.9347111776591,16.400000000000002,25.6,1175.8,117.2,1192.2,142.8,True,False
SLD1_00036,SLD1,T_0.400_180,0.4,180,1006,88,1.5978596210479736,0.3612903225806451,0.6838709677419355,0.7774193548387097,0.8354838709677419,0.2735483870967742,1794.4774193548387,0.0328300425861401,64,41,2624,310,8,7,1,1.0,16,7,9,709.5,61.5,11.53658536585366,934.4478259086608,521.5218585729599,1.7917711607823883,1.5121951219512195,1.5365853658536586,0.024390243902439,2542,2583,0.984126984126984,0.1791158536585365,0.118140243902439,0.0609756097560975,0.1848937844217152,0.1200154858691444,0.0648782985525708,0,7,7,8,15,0.3612903225806451,1.5978596,0.044846886726195,0.3612903225806451,0.5783382663319722,1794.4774193548387,0.2735483870967742,718.1379707017347,25.6,16.400000000000002,993.2,79.8,1018.8,96.2,True,False
SLD1_00040,SLD1,T_0.400_270,0.4,270,886,45,1.417292833328247,0.2840236686390532,0.6775147928994083,0.8076923076923077,0.8727810650887574,0.2710059171597633,1777.7988165680474,0.0349085365853658,41,64,2624,338,19,7,12,1.0,25,9,16,539.0,151.5,3.557755775577558,934.121925354004,570.3502857685089,1.6378039051831752,0.6833333333333333,0.640625,0.0427083333333333,2460,2624,0.9375,0.1863567073170731,0.1288109756097561,0.057545731707317,0.198780487804878,0.1288109756097561,0.0699695121951219,13,5,8,4,12,0.2840236686390532,1.4172928,0.0442184819006064,0.2840236686390532,0.4511623851445615,1777.7988165680474,0.2710059171597633,711.3902240583058,16.400000000000002,25.6,877.8,32.2,894.2,57.8,False,False
SLD1_00050,SLD1,T_0.400_270,0.4,270,98,113,1.560226559638977,0.3076923076923077,0.6686390532544378,0.7928994082840237,0.8520710059171598,0.2674556213017751,1754.508875739645,0.0344512195121951,41,64,2624,338,14,7,7,1.0,19,9,10,281.0,151.5,1.8547854785478548,748.215290427208,570.3502857685089,1.311852223268439,0.6507936507936508,0.640625,0.0101686507936508,2583,2624,0.984375,0.1474847560975609,0.1288109756097561,0.0186737804878048,0.1498257839721254,0.1288109756097561,0.0210148083623693,9,5,4,3,7,0.3076923076923077,1.5602266,0.0091673899476601,0.3076923076923077,0.5123362443789273,1754.508875739645,0.2674556213017751,702.1109520424853,16.400000000000002,25.6,89.8,100.2,106.2,125.8,True,False
